,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
0,0,938,C,"The vet found malignant tumors on the animals, what is their likely fate?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['euthanasia', 'pass water', 'die of cancer', 'feel pain',
       'feel pleasure'], dtype=object)}",euthanasia,pass water,die of cancer,feel pain,,"Question: The vet found malignant tumors on the animals, what is their likely fate? (A) euthanasia (B) pass water (C) die of cancer (D) feel pain. 
The correct response is: "," (A) euthanasia  
The animals will likely be put down after the vet discovered malignant tumors. This is known as euthanasia 
The other options are: (B)"
1,1,1112,C,What does someone stop doing when being dead?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moving', 'working', 'breathing', 'alive', 'deadworks'],
      dtype=object)}",moving,working,breathing,alive,,"Question: What does someone stop doing when being dead? (A) moving (B) working (C) breathing (D) alive. 
The correct response is: "," (D) alive 
The person is no longer alive when dead, so they stop doing all of these things  (A) moving (B) working (C) breathing 
But the correct response is: (D) alive 
The person is no longer alive when dead, so they"
2,2,188,A,Where could a sloth live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tropical jungle', 'manual', 'work', 'transit', 'countryside'],
      dtype=object)}",tropical jungle,manual,work,transit,,"Question: Where could a sloth live? (A) tropical jungle (B) manual (C) work (D) transit. 
The correct response is: "," (A) tropical jungle  
The sloth is a slow moving animal that lives in the trees of the jungle, where it can be close to the leaves it needs to survive. 
The sloth is a herbivore, which means it only eats"
3,3,984,A,Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['need for food', 'fitness', 'sweating', 'fastfood', 'thirst'],
      dtype=object)}",need for food,fitness,sweating,fastfood,,"Question: Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what? (A) need for food (B) fitness (C) sweating (D) fastfood. 
The correct response is: "," (A) need for food  
The correct response is:  (A) need for food 
The correct response is:  (A) need for food 
The"
4,4,576,D,Joe plays a percussion instrument in something.  What might be play in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'music store', 'marching band', 'orchestra', 'party'],
      dtype=object)}",own home,music store,marching band,orchestra,,"Question: Joe plays a percussion instrument in something.  What might be play in? (A) own home (B) music store (C) marching band (D) orchestra. 
The correct response is: "," (C) marching band  
The percussion instrument is typically played in a  (C) marching band 
The percussion instrument is typically played in a group of people who are:  (A) own home (B)"
5,5,608,D,"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelter', 'floor', 'warm place', 'farmhouse', 'living room'],
      dtype=object)}",shelter,floor,warm place,farmhouse,,"Question: If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time? (A) shelter (B) floor (C) warm place (D) farmhouse. 
The correct response is: "," (C) warm place 
The correct response is:  (C) warm place 
The correct response is:  (C) warm place 
The correct response is: "
6,6,1189,C,What happens when driving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lack of fuel', 'paint scratching', 'wheels turning', 'tire wear',
       'traffic accident'], dtype=object)}",lack of fuel,paint scratching,wheels turning,tire wear,,"Question: What happens when driving? (A) lack of fuel (B) paint scratching (C) wheels turning (D) tire wear. 
The correct response is: "," (D) tire wear  
The correct response is: (D) tire wear 
The correct response is: (D) tire wear 
The correct response is: (D) tire wear 
The correct response is: (D) tire wear"
7,7,1098,A,How does going jogging generally affect one's self esteem?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel better', 'feel pride', 'sweating', 'ocean', 'arthritis'],
      dtype=object)}",feel better,feel pride,sweating,ocean,,"Question: How does going jogging generally affect one's self esteem? (A) feel better (B) feel pride (C) sweating (D) ocean. 
The correct response is: "," (C) sweating  
The jog itself will likely  (C) sweating 
The correct response is:  (C) sweating 
The jog itself will likely  (C) sweating 
The correct response is:  (C"
8,8,383,B,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hatred', 'sleeping in', 'rest', 'making love', 'insomnia'],
      dtype=object)}",hatred,sleeping in,rest,making love,,"Question: It's Friday night and Alice puts off going to bed because she plans on doing what Saturday? (A) hatred (B) sleeping in (C) rest (D) making love. 
The correct response is: "," (D) making love 
The reason why is:  Alice delays bedtime because she intends to engage in sexual intercourse the next day 
The correct response should have been: (D) making love 
"
9,9,622,A,"The janitor never had much to clean after services, but there was still always a paper or two to pick up where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['synagogue', 'front porch', 'classroom', 'obesity',
       'grocery store'], dtype=object)}",synagogue,front porch,classroom,obesity,,"Question: The janitor never had much to clean after services, but there was still always a paper or two to pick up where? (A) synagogue (B) front porch (C) classroom (D) obesity. 
The correct response is: "," (A) synagogue  
The janitor is responsible for cleaning a church, so this is likely a source of paper trash:  (A) synagogue 
"
10,10,973,C,What does a person do when they feel dirty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel lucky', 'cross street', 'wash themselves', 'eat',
       'wonder what happened'], dtype=object)}",feel lucky,cross street,wash themselves,eat,,"Question: What does a person do when they feel dirty? (A) feel lucky (B) cross street (C) wash themselves (D) eat. 
The correct response is: "," (C) wash themselves  
The person with the correct response: John 
The correct response is: (C) wash themselves 
The other respondents were: Jane, Bob, Sarah, and Tom 
The correct response is: (C) was"
11,11,163,B,How can someone be let into a brownstone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['brooklyn', 'ring', 'subdivision', 'bricks', 'new york city'],
      dtype=object)}",brooklyn,ring,subdivision,bricks,,"Question: How can someone be let into a brownstone? (A) brooklyn (B) ring (C) subdivision (D) bricks. 
The correct response is: "," (B) ring  
The person can be let into the brownstone by: using a key 
The person is allowed into the brownstone by: a key 
The person is let into the brownstone by: a key 
The person is granted access to"
